topic,link,wc,desc,title
IT사이언스,https://n.news.naver.com/mnews/article/092/0002297461?sid=105,https://github.com/jinn0135/DA28_final_PagePalette/blob/news/news/wordclouds/2023-07-04_pm_IT%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4.jpg?raw=true,"화웨이 메이트X3, 오포 파인드N2·플립...삼성 갤럭시Z4 실물 비교화웨이 메이트X3의 펼쳤을 때 두께는 5.3mm으로 삼성 갤럭시Z폴드4의 두께 6.3mm 보다 얇다.",[리뷰] 주름 줄었다는데...中 폴더블폰 실제로 보니
IT사이언스,https://n.news.naver.com/mnews/article/008/0004907120?sid=105,https://github.com/jinn0135/DA28_final_PagePalette/blob/news/news/wordclouds/2023-07-04_pm_IT%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4.jpg?raw=true,"尹정부 초대 과기비서관 출신, 조 차관 취임사에 과기정통부 역할 강한 어조로 당부조 차관은 특히 국가 R&D 예산은 대한민국의 미래와 꿈에 투자하는 것으로 지금 당장 돈이 되는 기술개발은 기업에게 맡기면 더 효율적으로 빠르게 해낼 수 있다며 이미 나와 있는 기술을 업그레이드하는 R&D 투자는 국가의 몫이 아니다고 강조했다.","조성경 신임 과기차관 ""R&D 예산 핵심, 과학자·인재 육성"""
IT사이언스,https://v.daum.net/v/20230703150809455,https://github.com/jinn0135/DA28_final_PagePalette/blob/news/news/wordclouds/2023-07-04_pm_IT%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4.jpg?raw=true,"3일 민영기 로앤굿 대표는 기자회견을 열고 변협 측은 민간 플랫폼 가입 변호사 징계가 정당하는 입장을 견지한다면 나를 제명하라며 이같이 말했다.이어 지난 6일 언론사 보도를 통해 어떠한 이유로 로앤굿 서비스를 변호사법 위반이라고 보는지 알게된 순간 지난날의 노력이 아무 의미 없었음을 깨달았다면서 변협은 로앤굿의 서비스의 내용을 제대로 알지도 못하고, 심지어 법적 검토도 제대로 하지 않으면서 그저 민간 플랫폼이라는 이유로 불법으로 몰아가고 있다고 덧붙였다.","로앤굿 ""변협의 '법률 플랫폼 척결' 그만…변호사 징계 철회해야"""
IT사이언스,https://v.daum.net/v/20230703151522801,https://github.com/jinn0135/DA28_final_PagePalette/blob/news/news/wordclouds/2023-07-04_pm_IT%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4.jpg?raw=true,킨텍스에서 열리는 2023 국제안전보건전시회 참여해종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지,"SKT, ICT로 만드는 안전 산업현장…'국제안전보건전시회' 참가"
IT사이언스,https://v.daum.net/v/20230703153202518,https://github.com/jinn0135/DA28_final_PagePalette/blob/news/news/wordclouds/2023-07-04_pm_IT%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4.jpg?raw=true,넥슨은 삼성전자와 함께 창작 놀이 플랫폼 메이플스토리 월드를 활용한 교육 프로그램을 삼성 강남 플래그십스토어에서 실시한다.넥슨은 삼성전자와 함께 창작 놀이 플랫폼 메이플스토리 월드를 활용한 교육 프로그램을 삼성 강남 플래그십스토어에서 실시한다고 3일 밝혔다.,"넥슨-삼성전자, ‘삼성 강남’ 내 ‘메이플스토리 월드’ 활용 교육 개시"
바이오,https://v.daum.net/v/20230704121201634,https://github.com/jinn0135/DA28_final_PagePalette/blob/news/news/wordclouds/2023-07-04_pm_%EB%B0%94%EC%9D%B4%EC%98%A4.jpg?raw=true,"컴프야 2023, 올스타전 기념 이벤트 진행컴투스(대표 이주환)는 야구 게임 컴투스프로야구2023(이하 컴프야2023)에서 올스타전을 기념해 함께 즐기는 이벤트를 실시한다.컴투스프로야구 홈런레이스를 기념해 게임 내 홈런더비 플레이 시 역대 드림팀·나눔팀에 속한 선수와 코치가 등장하는 여러 아이템을 획득할 수 있다.",[콘텐츠 핫&뉴] ‘어비스리움’ 기념 테마 ‘가면무도회’ 선
바이오,https://v.daum.net/v/20230704093340876,https://github.com/jinn0135/DA28_final_PagePalette/blob/news/news/wordclouds/2023-07-04_pm_%EB%B0%94%EC%9D%B4%EC%98%A4.jpg?raw=true,"윤석열 대통령이 내년도 국가 연구개발(R&D) 사업 예산안의 재검토를 지시한 가운데 국가R&D 주무부처인 과학기술정보통신부 산하 정부출연연구기관들이 주요 예산을 20% 줄이는 안을 제출했다.sookim@sedaily.com<©서울경제, 무단 전재 및 재배포 금지>",출연연 주요 예산 20% 삭감안 제출···R&D 구조조정되나
바이오,https://v.daum.net/v/20230704095547743,https://github.com/jinn0135/DA28_final_PagePalette/blob/news/news/wordclouds/2023-07-04_pm_%EB%B0%94%EC%9D%B4%EC%98%A4.jpg?raw=true,"유바이오는 3일 공시를 통해 지난 6월 29일 필리핀 식품의약품청(FDA)에 유코백-19에 대한 품목허가를 신청했다고 밝혔다.헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지","유바이오로직스, ‘유코백-19’ 필리핀 품목허가 신청"
바이오,https://n.news.naver.com/mnews/article/008/0004907347?sid=105,https://github.com/jinn0135/DA28_final_PagePalette/blob/news/news/wordclouds/2023-07-04_pm_%EB%B0%94%EC%9D%B4%EC%98%A4.jpg?raw=true,"다만 대기업 참여를 허용하는 기준이 1000억원 이상으로 책정된 이유가 무엇인지 전혀 이해할 수 없다.최근 과학기술정보통신부가 마련한 공공 SW 사업 대기업 참여제한 제도 개선 토론회에 참여했던 한 관계자의 얘기다.이 관계자는 과거 공공 SW 사업 중 차질이 발생했던 사례를 꼼꼼히 점검해 사업 규모별, 투입 인원별로 조사하고 어떤 경우에 장애가 가장 많이 발생했는지 따져서 대기업 참여 기준을 정했어야 했다며 이번에 정부가 제시한 1000억원 기준은 도대체 어떤 과정을 거쳐 결정된 것인지 아무런 설명이 없다고 지적했다.",[우보세] 아리송한 '공공SW사업 대기업 참여' 허용기준
바이오,https://n.news.naver.com/mnews/article/366/0000913931?sid=105,https://github.com/jinn0135/DA28_final_PagePalette/blob/news/news/wordclouds/2023-07-04_pm_%EB%B0%94%EC%9D%B4%EC%98%A4.jpg?raw=true,그 결과 면역세포 중 하나인 가상기억 T세포에서 유래한 면역세포군이 원형탈모를 일으키는 핵심 원인임을 찾는 데 성공했다.박수형 교수는 가상기억 T세포가 항원과 관계 없는 자극으로 활성화돼 오히려 염증질환을 유발할 수 있음을 최초로 확인했다며 앞으로 항체 치료제를 신약 개발한다면 다양한 만성 염증질환의 발생에 대한 새로운 치료 전략을 제시할 수 있을 것이라고 말했다.,원형탈모 유발하는 범인 찾았다…치료제 개발 가능성 높여
